Username,Id,Tweet,Location
itsj_nkinga,1855073580,RT @youngy18: ‼ Use a face mask or scarf to keep you nose and mouth covered.,"Rome, Lazio"
SnarkyLisa,51639918,RT @stonecold2050: BREAKING: Fauci discusses new life-saving face mask. https://t.co/1eRcu5RfDg,Las Vegas
allen_rizzi,786701463410073601,"@Zimrico @CNN @MSNBC @nytimes #coronavirus #Masks
Let's be safe out there!
https://t.co/pQAbrs8chd",USA and Italy
DougelaLee,804813021877010432,RT @youngy18: ‼ Use a face mask or scarf to keep you nose and mouth covered.,"Glasgow, Scotland"
iPrinceMB,258749688,RT @stonecold2050: BREAKING: Fauci discusses new life-saving face mask. https://t.co/1eRcu5RfDg,NJ/NYC
gardenbunny2u,3150081618,RT @duty2warn: BREAKING: Fauci discusses new life-saving face mask. https://t.co/qA09uUjbXC,"Oregon, USA"
magicbuc,24600002,RT @duty2warn: BREAKING: Fauci discusses new life-saving face mask. https://t.co/qA09uUjbXC,"Ocala, FL"
ravenjanaya,806898365661347841,we would have been fighting 😡,in the gym 
YaBoyJersey,789500197491642368,Shoulda broke her jaw,"Atlantic City, NJ"
1scooman,1938797810,RT @duty2warn: BREAKING: Fauci discusses new life-saving face mask. https://t.co/qA09uUjbXC,Wisconsin
ADVOdiabolus,2299543717,RT @stonecold2050: BREAKING: Fauci discusses new life-saving face mask. https://t.co/1eRcu5RfDg,Switzerland
KellyJeter,18150300,RT @stonecold2050: BREAKING: Fauci discusses new life-saving face mask. https://t.co/1eRcu5RfDg,Clevelandish
tomkleven1,17858337,"RT @SirajAHashmi: *receives mask*

""why is this all leather and have a zipper?""","Seattle, WA"
dj_holiboi,4096291204,Where was his wiseness regarding to those naked hands he will use to adjust his mask from time to time.... mtcwwww,"Victoria Island, Nigeria"
Linusthesheepie,316836701,RT @stonecold2050: BREAKING: Fauci discusses new life-saving face mask. https://t.co/1eRcu5RfDg,Wisconsin
