Username,Id,Tweet
yeshiv03,74935478,RT @nagarjund: Congress MLA Dr Ranganath made sure every MLA entering Vidhan Soudha wore a N95 mask. #COVID19outbreak https://t.co/zdCFq2Ow…
NAZHlWA,3314464902,"RT @kimyaqee2: No one :

steamed___hams,305218709,summer is doing a foot mask in order to “have even sexier feet” https://t.co/Xgbn6bRok9,hell
LifeTechnology1,2382289663,Face Mask https://t.co/1bHgT1rHG3 https://t.co/s1fZj8Uhgc,United States
emiigolden,191358511,@augusta_okoro Thought we were asked to wear mask?,"Abuja, Nigeria"
SaraKatherineM,46748926,doing a face mask w brit https://t.co/pNe2ir538t,"Chicago, IL"
JanMareeSmith2,823416009763627008,RT @FairyQ15: A pair of pull ups make a handy face mask https://t.co/iejPgNW2oN,"Hobart, Tasmania"
GearheadRequiem,704845534238879745,RT @Smug_Legend: Today in shit that never actually happened https://t.co/I2u902bAa2,Great Tomb of Nazarick
gangwar_hitesh,753925349625434113,@rishibagree There is no shortage of mask on twitter. But in the market there is shortage.,HELL
WhiskeyBuffalo,1013585994765996032,@Edoliver_11 face is still the best thing ever.,"Florida, USA"
Buadu_jnr,466590960,RT @therealdaddymo1: This one removes his face mask and sneezed. Oluwa pls what is happening? 😩🤦🏾‍♂️🙄😷  https://t.co/CO24xhDcpH,GHANA
Biffo183,2377089403,;0)  now that's a mask  !! https://t.co/QJ6iwCckvT,The Sea
LutendoKhoromm2,1002836597631586306,RT @youngy18: ‼ Use a face mask or scarf to keep you nose and mouth covered.,"Cape Town, South Africa"
kookstelar7,932439983465680896,"RT @maithism: Moon Jin having Kook’s bunny mask, Namu Namjoon ain’t impressed https://t.co/hYT8hlvnju",México
ccassandras,25572852,@TalkThirty I was told to use my mask for at least 72 hours before getting a new one,"Colorado, USA"
QAYY1M,4923924564,RT @KKMPutrajaya: Not everyone needs a mask. https://t.co/AojAPa18FO,KL
michaeltrendz,1699006171,@officialEFCC Hope you guys are using mask and sanitizer,Earth
craezee_,789397521382584324,RT @therealdaddymo1: This one removes his face mask and sneezed. Oluwa pls what is happening? 😩🤦🏾‍♂️🙄😷  https://t.co/CO24xhDcpH,shut up and drive
kirs011,1486129201,"RT @SeaUrchin96825: DIY “Face Mask”
 https://t.co/TJRxPqQ0M2","California, USA"
OluchiDike4,887650647788707841,RT @therealdaddymo1: This one removes his face mask and sneezed. Oluwa pls what is happening? 😩🤦🏾‍♂️🙄😷  https://t.co/CO24xhDcpH,"Owerri, Nigeria"
tortrilla,1214528774,I hope there’s a day I’ll be able to listen to Mask Off again,"Arizona, USA"
ClaireMalone20,925830842,There's the same attitude in us that would refuse to wear a mask as we have to wearing sunglasses,"Belfast, Northern Ireland"
lomljm,1076705934276202497,RT @imnotgothicc: me being a face mask for my boyfriend so he doesn’t get sick 🥺👉👈 https://t.co/8NHzO5FBXS,𝐧𝐬𝐟𝐰 | 𝐬𝐮𝐛+| 𝟏𝟗 | 𝐧♡
TrippBraden,22824243,"RT @sandyconnolly: Excellent point Jim. #DigiBlogChat
https://t.co/RRstyRwxRr","Cleveland, OH"
Fola_x,190368553,I was explaining this thing to some people today...They were acting like idiots,"Lagos, Nigeria"
basaza_daniel,1042692279507603456,RT @AMANYAMARK10: It's now okay to visit a bank wearing a mask and gloves.#COVID19,Bukoto
WumiWummy,2420247274,RT @therealdaddymo1: This one removes his face mask and sneezed. Oluwa pls what is happening? 😩🤦🏾‍♂️🙄😷  https://t.co/CO24xhDcpH,"Victoria Island, Nigeria"
CEOofAltcoins,1192971104773537792,@PzDeals @pzf lol..what a joke. mofo….each mask costs pennies to make. scam artist. @FBI @TheJusticeDept,U.S.A
Dave_embo,315750483,So they said wear a mask when you go the shops....... I get told I can’t enter in mine??? Racists towards gingers https://t.co/6kkJlVq8Kq,"Congleton, England"
zettberlin,28865479,@jwildeboer Same here. Even in  the rooms of my mothers diabetes doctor I was the only one to wear a mask and gloves....,"Celle, Niedersachsen"
robyates88,35804219,"RT @DadsPuns: They said gloves and a mask would be enough to go to the supermarket..

They lied, everyone else had their clothes on.","Point Pleasant, WV"
redd3451,575057784,RT @FairyQ15: A pair of pull ups make a handy face mask https://t.co/iejPgNW2oN,Northern Virginia
Dandolar,160515105,"RT @Tobbsticks: Went to get Face mask and gloves, and I saw these https://t.co/HIWAFXiNGr",Lagos / Nigeria
realkashy_t,830036280016793601,RT @Aleahh__Mariee: THIS BITCH GOT A WHOLE FUCKIN CORONA MASK ON STICKIN FISH IN HA COOCHIE SEE YOU KNOW WHAT https://t.co/OMiChJCiYW,"Atlanta, GA"
adegbe_samson,715997840653348864,RT @thecableng: VIDEO: Laughter as senator removes face mask to sneeze https://t.co/jfwVmcoEuL via @thecableng https://t.co/O70pwYULOY,Ilorin
Ile_Osas,287831330,RT @therealdaddymo1: This one removes his face mask and sneezed. Oluwa pls what is happening? 😩🤦🏾‍♂️🙄😷  https://t.co/CO24xhDcpH,"Lagos, Nigeria"
theoreokiller23,2162208618,RT @imnotgothicc: me being a face mask for my boyfriend so he doesn’t get sick 🥺👉👈 https://t.co/8NHzO5FBXS,"San Francisco, CA"
POSHetDOPE,891715146346835970,RT @Fahvy2: When you work at a bank and 4 guys with mask come in but they're only robbing the place,Lagos || Ilorin || Twitter
ChykAmbush,351672516,Removing mask to sneeze 😂😂. Damn we are in a horror movie in this country,Pride Rock 
